ncols	155
nrows	130
xllcorner	345883.009681
yllcorner	2641788.262498
cellsize	35.940000
NODATA_value	-32768.000000
0	360	360	360	360	360	360	359	359	359	359	0	1	0	0	359	358	0	2	1	360	356	356	358	0	2	360	360	360	360	1	1	360	0	0	359	0	1	1	0	0	0	0	0	0	0	0	0	360	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	2	2	2	2	2	2	2	2	1	360	359	358	360	2	3	5	7	5	357	359	1	1	1	0	360	360	1	0	360	359	359	359	359	359	359	359	360	359	359	359	359	360	1	359	359	359	358	359	360	0	360	0	360	360	1	2	360	360	359	359	360	1	1	1	360	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	360	360	360	360	360	360	359	359	359	359	0	1	0	0	359	358	0	2	1	360	356	356	358	0	2	360	360	360	360	1	1	360	0	0	359	0	1	1	0	0	0	0	0	0	0	0	0	360	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	2	2	2	2	2	2	2	2	1	360	359	358	360	2	3	5	7	5	357	359	1	1	1	0	360	360	1	0	360	359	359	359	359	359	359	359	360	359	359	359	359	360	1	359	359	359	358	359	360	0	360	0	360	360	1	2	360	360	359	359	360	1	1	1	360	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	360	360	360	360	360	360	359	359	359	359	0	1	0	0	359	358	0	2	1	360	356	356	358	0	2	360	360	360	360	1	1	360	0	0	359	0	1	1	0	0	0	0	0	0	0	0	0	360	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	2	2	2	2	2	2	2	2	1	360	359	358	360	2	3	5	7	5	357	359	1	1	1	0	360	360	1	0	360	359	359	359	359	359	359	359	360	359	359	359	359	360	1	359	359	359	358	359	360	0	360	0	360	360	1	2	360	360	359	359	360	1	1	1	360	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	360	359	359	359	360	360	357	356	356	357	360	1	359	356	354	356	359	1	10	352	341	349	356	0	2	360	358	357	358	1	3	1	359	358	358	359	1	2	2	0	360	360	1	1	1	0	360	360	0	1	1	0	0	0	1	1	0	0	1	2	3	2	0	1	3	4	5	4	4	4	4	4	4	3	0	357	357	1	6	11	19	30	17	357	360	3	4	2	359	359	1	2	2	0	358	357	358	358	357	357	358	0	359	357	356	357	359	1	359	356	354	355	357	360	1	1	359	357	358	1	2	360	357	356	357	359	1	3	3	1	0	360	360	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	359	357	358	1	359	354	351	351	354	1	6	358	348	346	353	4	8	4	324	328	341	353	3	9	3	354	352	356	3	9	5	357	355	356	359	3	7	6	1	359	359	1	4	3	0	359	359	0	1	1	0	0	1	2	1	0	1	3	5	7	5	1	1	7	10	10	9	8	9	9	8	8	7	3	354	353	1	10	21	30	45	24	348	357	7	9	6	358	357	2	6	4	0	356	354	356	355	352	351	356	2	360	352	349	352	359	5	360	349	347	350	354	0	7	4	356	354	356	2	8	2	353	351	354	357	3	9	9	6	360	358	360	2	4	3	2	1	1	1	1	1	0	0	0	0	0	0	0	0	1	1	1	1	
1	1	359	356	355	359	358	353	350	349	351	9	16	7	354	350	356	29	21	5	351	345	347	354	13	21	11	358	355	357	7	15	9	0	357	358	360	5	11	8	2	0	0	2	4	4	1	359	360	0	1	1	1	0	1	2	2	1	2	4	6	8	7	4	4	10	14	13	12	11	11	11	10	9	8	4	355	353	1	9	14	11	6	353	336	342	6	8	5	359	357	4	8	4	360	355	353	354	353	349	347	353	2	360	352	349	350	2	11	5	354	350	350	353	3	13	7	358	355	356	9	17	9	358	354	355	359	8	16	16	11	2	360	1	3	5	4	2	1	1	1	1	1	1	1	1	1	0	0	0	1	1	1	1	1	
6	3	358	354	353	354	354	352	351	351	354	5	10	7	3	1	4	16	16	9	5	2	359	1	11	15	11	6	3	4	8	11	9	5	3	2	4	7	9	7	5	3	2	2	3	3	1	0	0	1	1	1	1	1	1	2	2	2	3	4	6	7	8	8	9	12	14	14	13	12	12	11	10	8	6	3	359	358	1	3	3	0	357	350	343	347	358	3	3	2	2	5	6	3	359	356	354	353	351	348	348	351	355	355	354	352	354	0	5	3	360	357	356	357	2	7	5	2	1	2	8	12	9	4	2	1	3	9	12	12	9	6	4	3	4	5	4	3	2	2	2	1	1	1	1	1	1	1	1	1	1	1	1	2	2	
14	6	355	352	351	351	351	351	351	353	357	1	3	4	5	6	8	9	10	10	8	5	4	6	8	9	10	9	7	7	8	8	8	7	6	6	6	7	7	7	5	4	3	3	2	2	1	1	1	1	1	1	1	1	1	2	3	3	4	5	6	7	9	10	11	12	13	14	13	12	12	11	10	8	6	3	2	1	0	360	358	355	352	350	350	350	354	359	1	3	4	4	3	1	358	356	354	353	351	349	349	350	351	352	353	354	356	359	360	1	0	359	359	360	1	2	3	4	4	5	6	7	7	6	5	5	6	7	8	8	8	7	6	5	5	5	4	4	3	3	2	2	1	1	1	1	1	1	1	1	1	1	1	2	2	
10	4	356	352	351	351	350	350	351	354	357	360	2	3	4	7	9	9	9	8	7	6	6	8	9	10	10	9	9	9	9	9	9	8	7	8	8	8	8	7	6	4	3	3	2	2	1	1	0	0	0	0	1	1	1	2	2	3	4	5	6	7	9	10	11	12	13	14	13	12	12	11	10	9	6	4	2	1	0	359	357	354	352	351	349	350	353	357	0	2	3	3	2	360	357	355	353	352	350	349	349	350	351	352	353	354	357	358	359	359	360	360	360	0	1	2	2	4	5	6	6	7	7	6	6	7	8	8	9	9	8	7	6	5	5	5	5	4	4	3	2	2	2	1	1	1	1	1	1	1	1	1	1	3	3	
3	1	358	354	351	350	350	350	352	354	356	358	0	3	5	7	9	9	9	9	8	7	7	9	10	10	11	10	10	10	10	10	10	10	9	9	10	9	9	8	6	4	3	3	2	1	0	0	360	360	360	0	1	1	1	2	2	3	4	4	5	7	8	10	11	11	12	13	13	12	11	11	11	9	6	5	3	2	1	359	357	354	352	351	349	349	352	355	359	0	1	2	1	359	356	354	353	352	351	349	349	350	351	352	353	355	356	358	359	359	360	360	360	0	1	2	3	4	5	6	6	7	7	7	7	7	9	9	9	9	9	8	6	6	6	6	5	5	4	3	2	2	2	2	2	2	1	1	1	1	1	2	2	2	2	
